#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Flag code,Development Status,Development Status 2,World Bank Income Classification,Departure week,Departure Month
567,PRINCESS MANISSA,9084217,Odesa,Libya,Corn,20500,12/19/2022,12/30/2022,:ly:,developing,other developing,Upper middle income,51,December
566,INCE ATLANTIC,9222508,Odesa,Kenya,Wheat,44000,12/19/2022,12/24/2022,:ke:,developing,other developing,Lower middle income,51,December
565,CYCLADES,9799616,Yuzhny/Pivdennyi,Spain,Corn,55000,12/19/2022,12/25/2022,:es:,developed,developed,High income,51,December
564,BOSPHORUS ASIA,9250696,Chornomorsk,Tunisia,Corn,30500,12/19/2022,12/25/2022,:tn:,developing,other developing,Lower middle income,51,December
563,LADY AYANA,9196395,Odesa,Italy,Corn,27000,12/18/2022,12/26/2022,:it:,developed,developed,High income,50,December
562,BARBAROS HAYRETTIN VARDAL,9282675,Odesa,Italy,Sunflower oil,5214,12/18/2022,12/24/2022,:it:,developed,developed,High income,50,December
561,AK HALIMA,9217826,Chornomorsk,Spain,Wheat,11100,12/18/2022,12/25/2022,:es:,developed,developed,High income,50,December
561,AK HALIMA,9217826,Chornomorsk,Spain,Corn,11900,12/18/2022,12/25/2022,:es:,developed,developed,High income,50,December
560,NYMPHI,9615030,Odesa,Tunisia,Corn,25700,12/17/2022,12/28/2022,:tn:,developing,other developing,Lower middle income,50,December
559,KEREM,9126429,Chornomorsk,Türkiye,Wheat,29000,12/17/2022,12/27/2022,:tr:,developing,other developing,Upper middle income,50,December
558,GULMAR,9146962,Odesa,Spain,Corn,42000,12/17/2022,12/23/2022,:es:,developed,developed,High income,50,December
557,FALCON S,9329423,Yuzhny/Pivdennyi,Türkiye,Sunflower seed,19000,12/17/2022,12/22/2022,:tr:,developing,other developing,Upper middle income,50,December
556,ALMERAY,9300910,Odesa,Libya,Corn,32400,12/16/2022,12/22/2022,:ly:,developing,other developing,Upper middle income,50,December
555,STAR EMERALD,9827384,Yuzhny/Pivdennyi,Indonesia,Wheat,71400,12/15/2022,12/28/2022,:id:,developing,other developing,Lower middle income,50,December
554,YAF S,9437787,Yuzhny/Pivdennyi,Türkiye,Wheat,5500,12/14/2022,12/26/2022,:tr:,developing,other developing,Upper middle income,50,December
553,SELINA II,9208112,Chornomorsk,India,Sunflower oil,35000,12/14/2022,12/22/2022,:in:,developing,other developing,Lower middle income,50,December
